driver,raceId,avgLapTime,points
Lewis Hamilton,2,109.39854838709678,1.0
Lewis Hamilton,3,127.41698214285714,4.0
Lewis Hamilton,4,97.02242105263159,9.0
Lewis Hamilton,5,89.84947692307694,9.0
Lewis Hamilton,6,79.05041558441557,9.0
Lewis Hamilton,7,90.78106896551724,9.0
Lewis Hamilton,8,85.29359322033899,9.0
Lewis Hamilton,9,99.78359322033899,9.0
Lewis Hamilton,10,84.34108571428571,19.0
Lewis Hamilton,11,100.94117543859649,27.0
Lewis Hamilton,13,86.53119230769231,27.0
Lewis Hamilton,14,114.20224590163936,37.0
Lewis Hamilton,15,100.13047169811321,43.0
Lewis Hamilton,16,78.33838028169014,49.0
Lewis Hamilton,17,103.6165,49.0
Lewis Hamilton,18,98.11406896551725,10.0
Lewis Hamilton,19,98.66255357142857,14.0
Lewis Hamilton,20,97.90685714285713,14.0
Lewis Hamilton,21,89.443,20.0
Lewis Hamilton,22,89.88327586206896,28.0
Lewis Hamilton,23,95.29923684210526,38.0
Lewis Hamilton,24,85.78436842105263,38.0
Lewis Hamilton,25,79.49665714285713,38.0
Lewis Hamilton,26,99.15733333333333,48.0
Lewis Hamilton,27,81.8040895522388,58.0
Lewis Hamilton,28,83.85878571428572,62.0
Lewis Hamilton,29,100.66578947368421,70.0
Lewis Hamilton,30,113.40756818181818,76.0
Lewis Hamilton,31,98.81898113207546,78.0
Lewis Hamilton,32,115.44624590163934,84.0
Lewis Hamilton,33,82.10137313432837,84.0
Lewis Hamilton,34,98.52505357142857,94.0
Lewis Hamilton,35,80.14566197183098,98.0
Lewis Hamilton,36,88.7476724137931,6.0
Lewis Hamilton,37,99.15155357142858,14.0
Lewis Hamilton,38,98.41885964912281,22.0
Lewis Hamilton,39,84.66184615384614,30.0
Lewis Hamilton,40,77.35158974358974,38.0
Lewis Hamilton,41,89.30417142857144,48.0
Lewis Hamilton,42,74.93102739726028,58.0
Lewis Hamilton,43,78.37647142857143,64.0
Lewis Hamilton,44,83.77028813559322,70.0
Lewis Hamilton,45,128.79693220338984,70.0
Lewis Hamilton,46,82.18558571428571,80.0
Lewis Hamilton,47,90.46975862068966,84.0
Lewis Hamilton,48,89.12958490566038,92.0
Lewis Hamilton,49,110.51547727272727,97.0
Lewis Hamilton,50,107.97879104477612,107.0
Lewis Hamilton,51,107.90433333333334,107.0
Lewis Hamilton,52,75.705,109.0
Lewis Hamilton,337,122.11383673469389,15.0
Lewis Hamilton,338,97.35222413793103,23.0
Lewis Hamilton,339,100.92648214285714,31.0
Lewis Hamilton,340,114.35166071428571,49.0
Lewis Hamilton,341,87.176125,49.0
Lewis Hamilton,342,84.84253846153845,59.0
Lewis Hamilton,343,91.8555172413793,84.0
Lewis Hamilton,344,80.47794285714286,109.0
Lewis Hamilton,345,105.87040350877193,127.0
Lewis Hamilton,346,97.68384615384616,145.0
Lewis Hamilton,347,78.89194029850746,157.0
Lewis Hamilton,348,91.38908695652174,157.0
Lewis Hamilton,349,121.46063636363637,182.0
Lewis Hamilton,351,120.80017142857143,182.0
Lewis Hamilton,352,103.14939622641509,192.0
Lewis Hamilton,353,183.9238,210.0
