year,avg_ms,min_ms
2011,24448.849192100537,12897
2012,23283.76955602537,13199
2013,24121.318611987383,13266
2014,55088.632352941175,16120
2015,25500.21322537112,16128
2016,124357.1941354904,16218
2017,56789.61959654179,14943
